Paper Title,Dataset Name,Method Name,Uncertainty Type (U1/U2/U3),Description
Measurement of uni-planar and sport specific trunk motion using magneto-inertial measurement units: The concurrent validity of Noraxon and Xsens systems relative to a retro-reflective system,MIMU Inertial Data,Kalman Filter (Noraxon/Xsens),U3,Algorithmic differences in sensor fusion logic between manufacturers.
Multimodal biomedical image fusion method via rolling guidance filter and deep convolutional neural networks,"Multimodal biomedical images (e.g., CT/MRI)",Rolling Guidance Filter + VGG Perceptual Fusion,U1,Severity level reported in the extraction sheet: Medium.
Multimodal biomedical image fusion method via rolling guidance filter and deep convolutional neural networks,"Multimodal biomedical images (e.g., CT/MRI)",Rolling Guidance Filter + VGG Perceptual Fusion,U2,Severity level reported in the extraction sheet: Medium.
Multimodal biomedical image fusion method via rolling guidance filter and deep convolutional neural networks,"Multimodal biomedical images (e.g., CT/MRI)",Rolling Guidance Filter + VGG Perceptual Fusion,U3,Severity level reported in the extraction sheet: High.
Investigating the ability of deep learning on actual evapotranspiration estimation in the scarcely observed region,Tibetan Plateau ET,Multisource Deep Learning (DL),U1,Uncertainty in defining regional representativeness with scarce observations.
Investigating the ability of deep learning on actual evapotranspiration estimation in the scarcely observed region,Tibetan Plateau ET,Multisource Deep Learning (DL),U2,Scarce distribution leads to high interpolation uncertainty.
Investigating the ability of deep learning on actual evapotranspiration estimation in the scarcely observed region,Tibetan Plateau ET,Multisource Deep Learning (DL),U3,Model simulation errors and correlation biases in input lead-times.
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Medical demand and disease-spectrum records,Entropy-weighted multi-source medical-demand forecasting,U1,"Disease categories, damage severity, and resource-needs definitions can vary across sources after an earthquake."
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Medical demand and disease-spectrum records,Entropy-weighted multi-source medical-demand forecasting,U2,Demand observations vary in reliability and may be missing or chaotic during emergency response.
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Medical demand and disease-spectrum records,Entropy-weighted multi-source medical-demand forecasting,U3,"Forecast quality depends on entropy-weighting choices, simulation assumptions, and the demand-prediction model."
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Post-earthquake injury and damage reports,Entropy-weighted multi-source medical-demand forecasting,U1,"Disease categories, damage severity, and resource-needs definitions can vary across sources after an earthquake."
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Post-earthquake injury and damage reports,Entropy-weighted multi-source medical-demand forecasting,U2,"Field reports may be delayed, incomplete, duplicated, or inconsistent across responding organizations."
Data Fusion in Forecasting Medical Demands based on Spectrum of Post-Earthquake Diseases,Post-earthquake injury and damage reports,Entropy-weighted multi-source medical-demand forecasting,U3,"Forecast quality depends on entropy-weighting choices, simulation assumptions, and the demand-prediction model."
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain cortical layer 1 scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U1,Matching assumes that cell types across experiments can be represented as comparable underlying multivariate expression distributions.
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain cortical layer 1 scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U2,Sequencing dropout and batch variability can distort cell-type signatures.
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain cortical layer 1 scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U3,"Matching results depend on feature-selection choices, cluster definitions, and the statistical testing framework."
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain middle temporal gyrus scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U1,Matching assumes that cell types across experiments can be represented as comparable underlying multivariate expression distributions.
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain middle temporal gyrus scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U2,Sequencing dropout and batch variability can distort cell-type signatures.
FR-Match: robust matching of cell type clusters from single cell RNA sequencing data using the Friedman-Rafsky non-parametric test,Human brain middle temporal gyrus scRNA-seq dataset,FR-Match cluster-to-cluster cell-type matching,U3,"Matching results depend on feature-selection choices, cluster definitions, and the statistical testing framework."
Multifunctional and Multidimensional Secure Data Aggregation Scheme in WSNs,WSN Readings,Secure Multi-dim Aggregation,U1,Mapping complex security needs to mathematical aggregation models.
Multifunctional and Multidimensional Secure Data Aggregation Scheme in WSNs,WSN Readings,Secure Multi-dim Aggregation,U2,Packet loss and node energy depletion errors.
Multifunctional and Multidimensional Secure Data Aggregation Scheme in WSNs,WSN Readings,Secure Multi-dim Aggregation,U3,Integrity verification errors and algorithmic overhead in processing.
Secure Critical Data Reclamation Scheme for Isolated Clusters in IoT-Enabled WSN,Isolated Cluster Data,Secure Critical Data Reclamation,U1,"Conceptual ambiguity in categorizing ""critical"" vs ""non-critical"" data."
Secure Critical Data Reclamation Scheme for Isolated Clusters in IoT-Enabled WSN,Isolated Cluster Data,Secure Critical Data Reclamation,U2,High uncertainty due to node isolation and missing packets.
Secure Critical Data Reclamation Scheme for Isolated Clusters in IoT-Enabled WSN,Isolated Cluster Data,Secure Critical Data Reclamation,U3,Assumptions in data reconstruction from partial or isolated packets.
Secure Multi-Dimensional and Multi-Angle Electricity Data Aggregation Scheme for Fog Computing-Based Smart Metering System,Smart-meter electricity consumption records,MAMDA secure multidimensional electricity aggregation,U1,The appliance/angle representation may not fully capture the real-world complexity of household energy behavior and context.
Secure Multi-Dimensional and Multi-Angle Electricity Data Aggregation Scheme for Fog Computing-Based Smart Metering System,Smart-meter electricity consumption records,MAMDA secure multidimensional electricity aggregation,U2,"Meter noise, time-synchronization issues, communication dropouts, and uncertainty from fine-grained periodic reporting."
Secure Multi-Dimensional and Multi-Angle Electricity Data Aggregation Scheme for Fog Computing-Based Smart Metering System,Smart-meter electricity consumption records,MAMDA secure multidimensional electricity aggregation,U3,"Correctness and privacy depend on cryptographic setup, aggregation assumptions, and the mapping from fine-grained readings to multidimensional summaries."
Resilient Interactive Sensor-Independent-Update Fusion Navigation Method,Vehicle Nav Dataset,Resilient SIU Fusion,U1,Defining resilience and failure thresholds in varied environments.
Resilient Interactive Sensor-Independent-Update Fusion Navigation Method,Vehicle Nav Dataset,Resilient SIU Fusion,U2,Signal blockage and measurement noise in urban environments.
Resilient Interactive Sensor-Independent-Update Fusion Navigation Method,Vehicle Nav Dataset,Resilient SIU Fusion,U3,Processing errors during high-frequency updates and interaction logic.
Answering Skyline Queries Over Incomplete Data With Crowdsourcing,Real and synthetic incomplete datasets,BayesCrowd (Bayesian Network + Crowdsourcing + Adaptive DPLL),U1,Severity level reported in the extraction sheet: High.
Answering Skyline Queries Over Incomplete Data With Crowdsourcing,Real and synthetic incomplete datasets,BayesCrowd (Bayesian Network + Crowdsourcing + Adaptive DPLL),U2,Severity level reported in the extraction sheet: High.
Answering Skyline Queries Over Incomplete Data With Crowdsourcing,Real and synthetic incomplete datasets,BayesCrowd (Bayesian Network + Crowdsourcing + Adaptive DPLL),U3,Severity level reported in the extraction sheet: High.
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,3D Scene Dataset (Redwood benchmark),HRBF-Fusion,U1,The method assumes that continuous smooth implicit surfaces are an adequate abstraction of real scene geometry and should regularize reconstruction.
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,3D Scene Dataset (Redwood benchmark),HRBF-Fusion,U2,"Sensor noise, missing surfaces, drift, and incomplete coverage in indoor RGB-D scans."
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,3D Scene Dataset (Redwood benchmark),HRBF-Fusion,U3,"Reconstruction quality depends on HRBF fitting, kernel/radius choices, confidence estimation, and registration optimization assumptions."
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,"ScanNet (e.g., scene0054_00)",HRBF-Fusion,U1,The method assumes that continuous smooth implicit surfaces are an adequate abstraction of real scene geometry and should regularize reconstruction.
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,"ScanNet (e.g., scene0054_00)",HRBF-Fusion,U2,"Depth noise, occlusions, calibration error, and pose drift in RGB-D indoor scans."
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,"ScanNet (e.g., scene0054_00)",HRBF-Fusion,U3,"Reconstruction quality depends on HRBF fitting, kernel/radius choices, confidence estimation, and registration optimization assumptions."
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,TUM RGB-D Dataset,HRBF-Fusion,U1,The method assumes that continuous smooth implicit surfaces are an adequate abstraction of real scene geometry and should regularize reconstruction.
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,TUM RGB-D Dataset,HRBF-Fusion,U2,"Depth noise, calibration limits, synchronization error, and missing measurements from commodity RGB-D sensing."
